r2.sn-2uuxa3vh-wvbl.a1.googlevideo.com,118.98.105.13
r3.sn-2uuxa3vh-wvbl.a1.googlevideo.com,118.98.105.14
r1.sn-2uuxa3vh-n0cl.a1.googlevideo.com,118.98.110.76
r2.sn-2uuxa3vh-n0cl.a1.googlevideo.com,118.98.110.77
r3.sn-2uuxa3vh-n0cl.a1.googlevideo.com,118.98.110.78
r4.sn-2uuxa3vh-n0cl.a1.googlevideo.com,118.98.110.79
r5.sn-2uuxa3vh-n0cl.a1.googlevideo.com,118.98.110.80
r6.sn-2uuxa3vh-n0cl.a1.googlevideo.com,118.98.110.81
r7.sn-2uuxa3vh-n0cl.a1.googlevideo.com,118.98.110.82
r8.sn-2uuxa3vh-n0cl.a1.googlevideo.com,118.98.110.83
r1.sn-poqvn5u-n0cl.a1.googlevideo.com,114.4.160.140
r2.sn-poqvn5u-n0cl.a1.googlevideo.com,114.4.160.141
r3.sn-poqvn5u-n0cl.a1.googlevideo.com,114.4.160.142
r4.sn-poqvn5u-n0cl.a1.googlevideo.com,114.4.160.143
r5.sn-poqvn5u-n0cl.a1.googlevideo.com,114.4.160.144
r6.sn-poqvn5u-n0cl.a1.googlevideo.com,114.4.160.145
r7.sn-poqvn5u-n0cl.a1.googlevideo.com,114.4.160.146
r8.sn-poqvn5u-n0cl.a1.googlevideo.com,114.4.160.147
r2.sn-npoeenll.a1.googlevideo.com,173.194.22.71
r3.sn-npoeenll.a1.googlevideo.com,173.194.22.72
r5.sn-npoeenll.a1.googlevideo.com,173.194.22.74
r1.sn-npoe7nsl.a1.googlevideo.com,173.194.59.38
r2.sn-npoe7nsl.a1.googlevideo.com,173.194.59.39
r3.sn-npoe7nsl.a1.googlevideo.com,173.194.59.40
r4.sn-npoe7nsl.a1.googlevideo.com,173.194.59.41
r5.sn-npoe7nsl.a1.googlevideo.com,173.194.59.42
r1.sn-poqvn5u-jb3r.a1.googlevideo.com,114.5.10.76
r2.sn-poqvn5u-jb3r.a1.googlevideo.com,114.5.10.77
r3.sn-poqvn5u-jb3r.a1.googlevideo.com,114.5.10.78
r4.sn-poqvn5u-jb3r.a1.googlevideo.com,114.5.10.79
r5.sn-poqvn5u-jb3r.a1.googlevideo.com,114.5.10.80
r6.sn-poqvn5u-jb3r.a1.googlevideo.com,114.5.10.81
r1.sn-2uuxa3vh-n0cr.a1.googlevideo.com,36.92.232.140
r2.sn-2uuxa3vh-n0cr.a1.googlevideo.com,36.92.232.141
r3.sn-2uuxa3vh-n0cr.a1.googlevideo.com,36.92.232.142
r1.sn-npoe7ner.a1.googlevideo.com,74.125.12.230
r2.sn-npoe7ner.a1.googlevideo.com,74.125.12.231
r3.sn-npoe7ner.a1.googlevideo.com,74.125.12.232
r4.sn-npoe7ner.a1.googlevideo.com,74.125.12.233
r5.sn-npoe7ner.a1.googlevideo.com,74.125.12.234
r2.sn-npoeener.a1.googlevideo.com,74.125.96.7
r3.sn-npoeener.a1.googlevideo.com,74.125.96.8
r4.sn-npoeener.a1.googlevideo.com,74.125.96.9
r1.sn-2upoxubavc5a-jb3s.a1.googlevideo.com,203.207.55.44
r2.sn-2upoxubavc5a-jb3s.a1.googlevideo.com,203.207.55.45
r1.sn-poqvn5u-jb3s.a1.googlevideo.com,114.4.4.204
r2.sn-poqvn5u-jb3s.a1.googlevideo.com,114.4.4.205
r3.sn-poqvn5u-jb3s.a1.googlevideo.com,114.4.4.206
r4.sn-poqvn5u-jb3s.a1.googlevideo.com,114.4.4.207
r5.sn-poqvn5u-jb3s.a1.googlevideo.com,114.4.4.208
r6.sn-poqvn5u-jb3s.a1.googlevideo.com,114.4.4.209
r1.sn-jx25uoxu-jb3s.a1.googlevideo.com,45.121.219.76
r2.sn-jx25uoxu-jb3s.a1.googlevideo.com,45.121.219.77
r1.sn-npoe7n7s.a1.googlevideo.com,209.85.229.151
r1.sn-nx5s7n7s.a1.googlevideo.com,173.194.152.6
r2.sn-nx5s7n7s.a1.googlevideo.com,173.194.152.7
r3.sn-nx5s7n7s.a1.googlevideo.com,173.194.152.8
r4.sn-nx5s7n7s.a1.googlevideo.com,173.194.152.9
r5.sn-nx5s7n7s.a1.googlevideo.com,173.194.152.10
r1.sn-n4v7sn7s.a1.googlevideo.com,74.125.170.199
r1.sn-2uuxa3vh-nv9s.a1.googlevideo.com,36.92.234.172
